iter	Passed	Remaining
0	1	141
1	2	130
2	3	124
3	5	120
4	6	118
5	7	116
6	8	113
7	9	111
8	10	110
9	12	109
10	13	107
11	14	106
12	15	104
13	16	103
14	17	101
15	19	100
16	20	98
17	21	97
18	22	96
19	23	94
20	25	94
21	26	93
22	27	92
23	28	91
24	29	89
25	31	88
26	32	87
27	33	85
28	34	84
29	35	83
30	36	82
31	38	81
32	39	79
33	40	78
34	41	77
35	42	76
36	44	74
37	45	73
38	46	72
39	47	71
40	48	70
41	49	68
42	51	67
43	51	66
44	53	65
45	54	63
46	55	62
47	56	61
48	57	60
49	59	59
50	60	57
51	61	56
52	62	55
53	63	54
54	64	53
55	65	51
56	66	50
57	68	49
58	69	48
59	70	47
60	71	45
61	72	44
62	73	43
63	75	42
64	76	41
65	77	39
66	78	38
67	80	37
68	81	36
69	82	35
70	84	34
71	85	33
72	86	31
73	87	30
74	88	29
75	90	28
76	91	27
77	92	26
78	93	24
79	95	23
80	96	22
81	97	21
82	98	20
83	99	19
84	100	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	108	10
91	109	9
92	110	8
93	111	7
94	112	5
95	114	4
96	115	3
97	116	2
98	117	1
99	118	0
