iter	Passed	Remaining
0	146	146393
1	150	75343
2	159	52916
3	162	40355
4	165	32874
5	167	27831
6	174	24753
7	177	21954
8	179	19765
9	182	18022
10	187	16820
11	188	15537
12	190	14436
13	191	13496
14	193	12695
15	194	11978
16	196	11349
17	197	10787
18	200	10355
19	202	9927
20	204	9517
21	205	9139
22	207	8799
23	208	8483
24	210	8191
25	211	7921
26	212	7671
27	215	7494
28	217	7286
29	219	7083
30	220	6892
31	222	6718
32	223	6551
33	225	6392
34	226	6243
35	227	6103
36	230	6012
37	232	5891
38	234	5769
39	235	5654
40	237	5551
41	238	5447
42	240	5347
43	241	5252
44	243	5161
45	246	5111
46	248	5033
47	250	4959
48	251	4884
49	253	4816
50	254	4744
51	256	4674
52	257	4606
53	260	4569
54	262	4507
55	263	4447
56	265	4388
57	266	4331
58	268	4276
59	269	4222
60	270	4169
61	272	4119
62	275	4091
63	276	4050
64	278	4005
65	279	3961
66	281	3917
67	282	3874
68	284	3833
69	285	3794
70	286	3754
71	289	3734
72	291	3706
73	293	3671
74	294	3636
75	296	3601
76	297	3567
77	299	3535
78	300	3502
79	301	3471
80	304	3455
81	306	3433
82	307	3397
83	308	3368
84	310	3340
85	311	3313
86	313	3286
87	314	3260
88	315	3234
89	317	3208
90	320	3205
91	322	3181
92	323	3157
93	325	3133
94	326	3110
95	327	3088
96	329	3066
97	330	3044
98	332	3022
99	335	3023
100	337	3003
101	338	2983
102	340	2963
103	341	2943
104	343	2924
105	344	2905
106	345	2887
107	347	2868
108	350	2866
109	352	2852
110	354	2836
111	355	2819
112	357	2804
113	358	2789
114	360	2773
115	361	2757
116	363	2742
117	365	2734
118	367	2719
119	368	2704
120	370	2689
121	371	2672
122	372	2658
123	374	2644
124	375	2629
125	377	2617
126	379	2607
127	381	2596
128	382	2585
129	384	2574
130	386	2562
131	387	2549
132	389	2538
133	392	2533
134	394	2525
135	395	2513
136	397	2500
137	398	2488
138	399	2476
139	401	2464
140	402	2452
141	403	2439
142	405	2428
143	408	2427
144	409	2415
145	411	2405
146	412	2394
147	414	2383
148	415	2372
149	416	2362
150	418	2353
151	420	2343
152	423	2343
153	424	2333
154	426	2323
155	427	2313
156	428	2303
157	430	2293
158	431	2283
159	433	2276
160	434	2264
161	437	2262
162	439	2255
163	440	2247
164	442	2238
165	443	2230
166	445	2223
167	447	2214
168	448	2205
169	450	2198
170	452	2193
171	453	2185
172	455	2177
173	456	2168
174	458	2160
175	459	2153
176	461	2144
177	462	2136
178	464	2128
179	467	2127
180	468	2119
181	469	2112
182	471	2104
183	472	2096
184	474	2088
185	475	2080
186	476	2073
187	478	2066
188	481	2066
189	483	2059
190	484	2052
191	485	2044
192	487	2038
193	488	2031
194	490	2024
195	491	2017
196	493	2010
197	496	2009
198	497	2004
199	499	1997
200	500	1990
201	502	1985
202	504	1981
203	506	1977
204	508	1972
205	512	1976
206	514	1970
207	516	1964
208	518	1960
209	519	1954
210	521	1949
211	523	1944
212	526	1945
213	528	1940
214	530	1935
215	531	1929
216	533	1924
217	534	1918
218	536	1913
219	538	1907
220	542	1913
221	544	1909
222	546	1904
223	548	1899
224	549	1893
225	551	1888
226	553	1883
227	556	1882
228	558	1880
229	560	1875
230	561	1869
231	563	1864
232	564	1859
233	566	1855
234	568	1850
235	571	1849
236	573	1845
237	574	1840
238	576	1835
239	577	1829
240	579	1824
241	580	1819
242	582	1815
243	585	1814
244	587	1811
245	589	1806
246	590	1801
247	592	1796
248	594	1792
249	595	1787
250	597	1781
251	598	1776
252	601	1776
253	603	1772
254	604	1767
255	606	1762
256	608	1758
257	609	1753
258	611	1748
259	612	1743
260	615	1743
261	617	1739
262	619	1734
263	620	1730
264	622	1725
265	623	1721
